yr,mon,d,forks
2024,2,4,11
2024,2,5,6
2024,2,6,7
2024,2,7,7
2024,2,8,4
2024,2,9,8
2024,2,10,2
2024,2,11,4
2024,2,12,1
2024,2,13,5
2024,2,14,5
2024,2,15,4
2024,2,16,3
2024,2,18,2
2024,2,19,4
2024,2,20,5
2024,2,21,8
2024,2,22,5
2024,2,23,9
2024,2,24,3
2024,2,25,5
2024,2,26,6
2024,2,27,7
2024,2,28,6
2024,2,29,2
2024,3,1,7
2024,3,2,7
2024,3,3,2
2024,3,4,2
2024,3,5,3
2024,3,6,3
2024,3,7,8
2024,3,8,5
2024,3,9,4
2024,3,10,7
2024,3,11,8
2024,3,12,13
2024,3,13,5
2024,3,14,7
2024,3,15,5
2024,3,16,2
2024,3,17,6
2024,3,18,9
2024,3,19,7
2024,3,20,4
2024,3,21,7
2024,3,22,6
2024,3,23,4
2024,3,24,2
2024,3,25,4
2024,3,26,8
2024,3,27,8
2024,3,28,9
2024,3,29,6
2024,3,30,8
2024,3,31,3
2024,4,1,2
2024,4,2,6
2024,4,3,9
2024,4,4,7
2024,4,5,5
2024,4,6,4
2024,4,7,8
2024,4,8,8
2024,4,9,7
2024,4,10,5
2024,4,11,8
2024,4,12,3
2024,4,13,3
2024,4,14,6
2024,4,15,2
2024,4,16,10
2024,4,17,6
2024,4,18,5
2024,4,19,13
