yr,mon,d,forks
2024,3,29,29
2024,3,30,10
2024,3,31,8
2024,4,1,12
2024,4,2,8
2024,4,3,14
2024,4,4,8
2024,4,5,12
2024,4,6,10
2024,4,7,8
2024,4,8,9
2024,4,9,8
2024,4,10,10
2024,4,11,5
2024,4,12,4
2024,4,13,4
2024,4,14,2
2024,4,15,4
2024,4,16,6
2024,4,17,7
2024,4,18,2
2024,4,19,3
2024,4,20,10
2024,4,21,4
2024,4,22,4
2024,4,23,5
2024,4,24,6
2024,4,25,3
2024,4,26,4
2024,4,27,2
2024,4,29,9
2024,4,30,5
2024,5,1,3
2024,5,2,8
2024,5,4,2
2024,5,5,1
2024,5,6,6
2024,5,7,4
2024,5,8,3
2024,5,9,4
2024,5,10,2
2024,5,11,5
2024,5,12,3
2024,5,13,4
2024,5,14,1
2024,5,15,5
2024,5,16,4
2024,5,17,6
2024,5,18,4
2024,5,19,3
2024,5,20,3
2024,5,21,2
2024,5,22,2
2024,5,23,3
2024,5,24,6
2024,5,26,2
2024,5,27,4
2024,5,28,4
2024,5,29,5
2024,5,30,7
2024,5,31,1
2024,6,1,1
2024,6,2,7
2024,6,3,2
2024,6,4,3
2024,6,5,7
2024,6,6,5
2024,6,7,1
2024,6,8,1
2024,6,9,5
2024,6,11,3
2024,6,12,11
2024,6,13,2
2024,6,14,3
2024,6,15,1
2024,6,16,2
2024,6,17,3
2024,6,18,2
2024,6,19,6
2024,6,20,3
2024,6,21,4
2024,6,22,1
2024,6,23,1
2024,6,24,2
2024,6,25,2
2024,6,26,3
2024,6,27,4
2024,6,28,3
2024,6,29,1
2024,6,30,1
2024,7,1,2
2024,7,2,3
2024,7,3,6
2024,7,4,4
2024,7,5,4
2024,7,6,1
2024,7,7,3
2024,7,8,5
2024,7,9,3
2024,7,10,1
2024,7,11,5
2024,7,12,5
2024,7,13,3
2024,7,14,2
2024,7,15,6
2024,7,16,4
2024,7,17,4
2024,7,18,2
2024,7,19,3
2024,7,20,1
2024,7,21,4
2024,7,22,5
2024,7,23,5
2024,7,24,3
2024,7,25,4
2024,7,26,2
2024,7,27,4
2024,7,28,2
2024,7,29,1
2024,7,30,5
2024,7,31,2
2024,8,1,2
2024,8,2,4
2024,8,3,5
2024,8,4,2
2024,8,5,4
2024,8,6,6
2024,8,7,6
2024,8,8,4
2024,8,9,2
2024,8,10,1
2024,8,12,7
2024,8,13,2
2024,8,14,2
2024,8,15,3
2024,8,16,4
2024,8,17,3
2024,8,18,6
2024,8,19,2
2024,8,20,2
2024,8,21,6
2024,8,22,3
2024,8,23,4
2024,8,25,3
2024,8,26,5
2024,8,27,7
2024,8,28,5
2024,8,29,9
2024,8,31,1
2024,9,1,4
2024,9,2,1
2024,9,3,6
2024,9,4,3
2024,9,5,4
2024,9,6,4
2024,9,7,2
2024,9,8,4
2024,9,9,7
2024,9,10,3
2024,9,11,2
2024,9,12,5
2024,9,13,2
2024,9,14,1
2024,9,15,2
2024,9,16,4
2024,9,17,3
2024,9,18,1
2024,9,19,4
2024,9,20,1
2024,9,21,5
2024,9,22,1
2024,9,23,2
2024,9,24,1
2024,9,25,2
2024,9,26,2
2024,9,27,3
2024,9,28,2
2024,9,29,4
2024,9,30,2
2024,10,1,3
2024,10,2,2
2024,10,3,1
2024,10,4,1
2024,10,5,3
2024,10,6,2
2024,10,7,3
2024,10,8,2
2024,10,9,6
2024,10,10,5
2024,10,11,1
2024,10,12,4
2024,10,13,2
2024,10,14,5
2024,10,15,4
2024,10,16,4
2024,10,17,2
2024,10,18,1
2024,10,19,3
2024,10,20,1
2024,10,21,4
2024,10,22,3
2024,10,23,7
2024,10,24,5
2024,10,25,4
2024,10,26,2
2024,10,27,4
2024,10,28,2
2024,10,29,4
2024,10,30,3
2024,10,31,5
2024,11,1,1
2024,11,2,2
2024,11,3,3
2024,11,4,5
2024,11,5,4
2024,11,6,3
2024,11,7,2
2024,11,8,2
2024,11,9,1
2024,11,10,2
2024,11,11,2
2024,11,12,1
2024,11,13,6
2024,11,15,4
2024,11,16,3
2024,11,17,1
2024,11,18,3
2024,11,19,4
2024,11,20,4
2024,11,21,3
2024,11,23,8
2024,11,25,2
2024,11,26,3
2024,11,27,5
2024,11,28,4
2024,11,29,2
2024,11,30,3
2024,12,2,1
